ZIPCODE,FREQUENCY
22201,2
30035,2
62207,2
49251,2
7901,2
60701,2
56201,2
60693,2
60541,2
32277,2
30076,2
32738,2
40241,2
80643,2
98122,2
63114,2
45040,2
28202,2
98117,2
52655,2
49340,2
77373,2
34759,2
54016,2
39564,2
44070,2
63033,2
65803,2
19446,2
67217,2
30341,2
48207,2
60518,2
10023,2
85008,2
46580,2
60801,2
43219,2
89109,2
34608,2
60167,2
33304,2
50169,2
71220,2
33414,2
60078,2
76104,2
38128,2
54646,2
44319,2
34110,2
30165,2
90632,2
53525,2
49878,2
53235,2
61606,2
33966,2
49047,2
43123,2
70124,2
32065,2
46714,2
36606,2
68521,2
10469,2
11102,2
52738,2
61469,2
11233,2
3842,2
23513,2
32119,2
61833,2
60669,2
75023,2
33884,2
90057,2
48188,2
35805,2
31210,2
89052,2
45410,2
32809,2
47401,2
33301,2
37075,2
3079,2
34744,2
55021,2
54729,2
50265,2
60912,2
62917,2
95125,2
44221,2
6608,2
61616,2
95746,2
68134,2
63144,2
78572,2
34747,2
43551,2
38127,2
85043,2
5401,2
19096,2
44105,2
48141,2
55391,2
53726,2
55417,2
75254,2
45217,2
92801,2
41075,2
89110,2
90039,2
2420,2
52317,2
55379,2
62269,2
81623,2
75241,2
70802,2
11235,2
55306,2
61084,2
33409,2
33510,2
53190,2
48017,2
71913,2
76135,2
30046,2
97478,2
85339,2
89128,2
60221,2
79912,2
27893,2
18966,2
8701,2
78045,2
30310,2
92008,2
34957,2
49010,2
55406,2
75019,2
55082,2
43212,2
34465,2
46278,2
60161,2
6516,2
46835,2
78702,2
37716,2
78501,2
19154,2
90221,2
47620,2
64052,2
44333,2
92027,2
46055,2
63640,2
78202,2
92010,2
39213,2
89118-1121,2
90706,2
48335,2
91202,2
79938,2
20910,2
44241,2
30350,2
33326,2
90034,2
35160,2
49242,2
76033,2
64119,2
44107,2
85018,2
49855,2
70043,2
92831,2
52245,2
31763,2
77584,2
46808,2
7751,2
59802,2
90063,2
75040,2
63147,2
92672,2
27101,2
14206,2
48310,2
94301,2
76541,2
30736,2
60747,2
90301,2
46819,2
55412,2
53104,2
89123,2
44053,2
78726,2
15213,2
48416,2
80219,2
98155,2
47304,2
46371,2
30315,2
37209,2
91786,2
37172,2
48316,2
55901,2
85392,2
54241,2
66047,2
32707,2
48706,2
44060,2
60688,2
27409,2
20747,2
75287,2
48189,2
72143,2
48009,2
14611,2
79934,2
41071,2
72206,2
33021,2
63127,2
46805,2
60717,2
85719,2
64064,2
94105,2
19803,2
55343,2
33707,2
45324,2
90027,2
44311,2
89074,2
35064,2
30253,2
30040,2
33162,2
6489,2
32818,2
85037,2
34714,2
72701,2
10528,2
14103,2
85017,2
60817,2
54772,2
19038,2
92203,2
39059,2
16506,2
33177,2
62450,2
77021,2
92602,2
73132,2
53042,2
30080,2
29210,2
52405,2
20745,2
8094,2
81402,2
98548,2
60414,2
92880,2
52803,2
98058,2
78552,2
21801,2
48348,2
44055,2
49301,2
30004,2
77006,2
77338,2
51501,2
45224,2
37043,2
35816,2
61722,2
78240,2
30039,2
89149,2
62236,2
30030,2
45219,2
55446,2
37338,2
94702,2
76117,2
44306,2
63118,2
30504,2
39120,2
55103,2
77433,2
30034,2
28277,2
80104,2
70002,2
34748,2
49090,2
30114,2
60818,2
87114,2
60170,2
50023,2
85253,2
54660,2
55112,2
48823,2
74429,2
80018,2
43232,2
63113,2
53405,2
90026,2
98115,2
62233,2
30009,2
43054,2
41011,2
58078,2
80206,2
65583,2
60643-3112,2
93711,2
61738,2
60824,2
98004,2
90007,2
98032,2
49053,2
53051,2
33825,2
62666,2
40223,2
37115,2
2122,2
60183,2
71112,2
4102,2
61061,2
14621,2
95050,2
11746,2
78753,2
18062,2
97140,2
60207,2
98208,2
77396,2
49120,2
56304,2
29577,2
64073,2
49649,2
60705,2
49083,2
94806,2
11105,2
46225,2
46113,2
68164,2
43512,2
65109,2
29492,2
93550,2
47201,2
47408,2
60113,2
43081,2
60844,2
90036,2
60955,2
48708,2
51105,2
1503,2
46531,2
37086,2
47203,2
38242,2
53965,2
80204,2
66018,2
43311,2
85388,2
38012,2
46845,2
66212,2
50208,2
62621,2
54703,2
60146,2
33909,2
30047,2
85635,2
60479,2
2150,2
32701,2
55409,2
62568,2
99999,2
75214,2
48070,2
11368,2
54904,2
41005,2
6037,2
53562,2
77546,2
49129,2
32955,2
7417,2
55311,2
55347,2
40601,2
77479,2
89139,2
28215,2
77062,2
53151,2
33407,2
27609,2
44106,2
29926,2
53195,2
68776,2
56387,2
45459,2
98146,2
41051,2
53220,2
77469,2
55066,2
600616,2
60052,2
60619`,2
97302,2
55118,2
69632,2
63005,2
90630,2
6063,2
49345,2
29407,2
75104,2
60721,2
76542,2
27107,2
85206,2
49525,2
63701,2
46388,2
32835,2
36116,2
77494,2
